player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
606,25-26-prem-nottingham-forest-vs-west-ham-united,90,0,0,1,0.06,0.01,0,0,0,1,68,55,0.0,0.0,3,0,0.0,4,0.0,0,0,1,0,6,2,0,1,3,0,0.0,1,0.0,0,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516,25-26-prem-nottingham-forest-vs-west-ham-united,89,0,0,1,0.04,0.09,1,0,0,5,47,28,0.0,3.0,0,1,0.0,1,0.0,0,0,2,0,1,1,0,0,3,0,0.0,0,0.0,0,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.04,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
695,25-26-prem-wolverhampton-wanderers-vs-everton,63,0,0,0,0.0,0.01,0,0,0,1,44,17,0.0,0.0,1,1,0.0,0,0.0,0,0,2,1,1,1,0,1,3,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502,25-26-prem-nottingham-forest-vs-west-ham-united,90,0,0,0,0.0,0.0,0,0,0,0,20,8,0.0,0.0,2,0,0.0,0,0.0,0,0,3,0,1,0,0,0,0,0,0.0,0,0.0,0,0,5,3,3.29,0.29,0,8,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506,25-26-prem-nottingham-forest-vs-west-ham-united,90,0,0,0,0.0,0.02,0,1,0,0,84,64,0.0,0.0,16,0,0.0,1,0.0,0,1,9,0,3,0,0,1,2,1,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
625,25-26-prem-nottingham-forest-vs-west-ham-united,64,0,0,3,0.15,0.0,1,0,0,3,23,7,0.0,0.0,1,0,0.0,0,0.0,0,0,1,1,0,0,1,3,3,1,0.0,2,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.06,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
669,25-26-prem-nottingham-forest-vs-west-ham-united,58,0,0,0,0.0,0.0,0,1,0,2,29,11,0.0,0.0,2,0,0.0,1,0.0,0,0,4,0,0,0,1,4,3,4,0.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521,25-26-prem-nottingham-forest-vs-west-ham-united,89,0,0,0,0.0,0.04,0,0,0,0,80,58,0.0,0.0,13,0,0.0,1,0.0,0,2,5,0,5,2,0,2,6,2,0.0,0,0.0,0,5,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507,25-26-prem-nottingham-forest-vs-west-ham-united,90,0,0,2,0.04,0.27,0,1,0,2,71,46,0.0,1.0,8,0,0.0,3,0.0,0,1,2,0,1,1,0,3,5,3,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505,25-26-prem-nottingham-forest-vs-west-ham-united,90,0,0,1,0.05,0.01,0,0,0,2,63,50,0.0,0.0,5,0,0.0,1,0.0,0,0,3,0,4,2,2,3,3,0,0.0,3,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
