id,lambda_h,lambda_a,cs_h_p,cs_a_p
1,1.2715135,0.723447,0.4850773352445662,0.2804090678774575
2,1.6495082,0.42313886,0.6549876777833303,0.19215535358095553
3,1.2858207,1.2556559,0.2848909138132005,0.2764259406406533
4,1.2343856,0.8689994,0.4193711027883823,0.29101527180887343
5,1.156927,1.2426279,0.2886266039137239,0.3144521513752485
6,1.185322,1.2252545,0.29368462095218983,0.3056490777858335
7,0.7942766,1.5481045,0.2126581753185886,0.4519081060486022
8,1.7266095,1.1460696,0.31788478415459015,0.17790084113102433
9,0.6155338,1.9058714,0.14871787897373367,0.5403523735555805
10,2.5404754,0.42444548,0.6541324145639513,0.07892929316209388
11,0.4341956,1.8497442,0.15729850721948252,0.6477855317867451
12,1.1677337,1.4672053,0.23057435594307407,0.31107235014725404
13,1.4840077,5.2876954,0.005544044958722432,0.22673299867420332
14,1.8927965,0.5376142,0.5841402213281244,0.15067387527581508
15,1.6360238,0.8606124,0.4229031599459848,0.19476334850644034
16,1.5133997,2.47727,0.0840622295361762,0.2201667583191184
17,1.6204001,0.5772243,0.5614546339061244,0.19782942219301136
18,1.0726955,1.9096912,0.14815125214310165,0.3420858635632912
19,1.6659714,0.9580194,0.383652309048731,0.1890186063130465
20,1.7512051,1.3456538,0.2603725464847012,0.17358018751563334
21,0.76434624,2.3984911,0.09093297996202312,0.46563830381308796
22,0.9985417,1.2765603,0.278997519824617,0.3684167160892127
23,1.0369201,0.84269804,0.4305474415436328,0.35454551052170064
24,1.9723525,0.7878936,0.45480185689712616,0.13915904006278929
25,1.713671,0.85986793,0.4232181115130115,0.18021677246039922
26,1.2026781,1.381075,0.2513119282302369,0.3003901531200567
27,1.0159029,1.4319456,0.23884841771802726,0.36207583569687274
28,1.3096327,1.2281935,0.29282278524323024,0.2699218037247876
29,1.2783111,1.3636326,0.25573352751509243,0.2785094947545559
30,1.8750869,0.8395202,0.43191781709844423,0.15336439421410109
31,1.2148609,1.241377,0.28898784750951995,0.29675287436481285
32,2.0253155,0.8625378,0.4220896844392558,0.1319865247762516
33,1.6355578,1.0463989,0.35120075964464664,0.19485410476543688
34,0.98807096,1.1788688,0.30762783603703686,0.3722945473686766
35,1.4338628,1.2364439,0.2904169239081838,0.2383909740336004
36,1.5203736,1.2979995,0.27308000332504856,0.21863691961061713
37,1.2026681,1.8397238,0.15888178354948215,0.3003931610179527
38,1.5259727,1.4180274,0.2421956486182359,0.21741635215449195
39,1.8551103,0.977175,0.37637320383490636,0.15645714332664803
40,1.3183107,1.1334277,0.3219288711895657,0.26758967306693077
41,1.3467845,1.0219171,0.35990478683294636,0.26007833006979236
42,1.0061624,2.1848998,0.11253933100300631,0.36561982228883344
43,1.2456158,1.1836723,0.3061537198003956,0.28776551557860747
44,0.75904024,1.6786823,0.18663188547136098,0.4681155462725794
45,1.671016,0.9449627,0.38869435254336926,0.18806775439714185
46,2.0449557,0.94560987,0.3884428774504711,0.12942199721127223
47,1.2413523,1.422734,0.24105851648278562,0.28899497846673206
48,1.0004201,0.8439824,0.429994819718156,0.3677253450299691
49,1.8560328,0.8296551,0.4361998073431828,0.1563129472890811
50,1.664899,1.7208256,0.17893242912050153,0.18922136354200378
51,1.1452684,1.2447555,0.2880131861792212,0.3181395713251409
52,1.1301396,1.5932857,0.20326561078402078,0.32298914093214337
53,1.5249246,1.3242188,0.2660135074286861,0.2176443070117459
54,1.5205855,0.7330543,0.48043939238626815,0.2185905907020287
55,1.538027,1.2899375,0.27529035550656134,0.21481169889551352
56,1.1883787,1.7385046,0.17579795966704323,0.304716271094266
57,1.9726012,0.82239956,0.43937618044986976,0.1391244669625732
58,1.2174199,1.3111608,0.26950966332734316,0.2959944970147375
59,1.543083,0.9535903,0.38535530150354763,0.21372855457994522
60,1.685317,1.0375144,0.354334841736608,0.18539809881669325
61,1.1852632,1.3456489,0.2603738189913346,0.30566707727165887
62,2.0279562,1.3063967,0.2707966178441216,0.13163876796957366
63,0.91208124,1.2151536,0.2966660427644387,0.4016875585799823
64,1.1845666,1.5770396,0.20659417043340633,0.3058800544689979
65,1.9828829,1.3454152,0.26043465827368734,0.13770249962502942
66,0.9615933,0.9228963,0.39736670272848784,0.3822836327435871
67,1.2445042,1.3747307,0.2529112691582704,0.2880855680455564
68,2.094275,0.68992287,0.5016147838831857,0.12320025465022436
69,1.6560506,1.2770749,0.27885398425764557,0.19090264452557185
70,1.3977039,1.7519788,0.1734459971323434,0.24716780434210456
71,2.0413074,1.2338362,0.29117520368300004,0.12989456465220217
72,1.4574994,1.4198904,0.24174490191450088,0.232822912060605
73,1.5331738,1.174041,0.3091165314144352,0.21585659441896343
74,1.7625326,1.7325677,0.17684439512807484,0.17162580676341532
75,1.3802767,1.5705928,0.20793009274558422,0.25151262532982116
76,1.2104061,1.1637764,0.3123057542420157,0.2980777674617809
77,1.7569714,1.3369642,0.26264476317347396,0.17258253992657882
78,2.3996627,0.95799255,0.3836625994740836,0.09082676947809637
79,1.319729,1.3523859,0.25862570074822677,0.2672104605976716
80,1.3812813,1.2537076,0.2854464658176531,0.2512601092716816
81,1.2047203,0.94750196,0.38770860805241864,0.2997773500961506
82,2.0501318,0.7370911,0.47850384495687687,0.12875449013109413
83,1.6053728,1.0949886,0.3345442086501039,0.20082402708499322
84,0.8678003,1.0966876,0.3339763201502231,0.4198742816170736
85,1.4779571,1.1991031,0.301465925168966,0.22810884486635272
86,1.5400181,1.1998458,0.30124212458555155,0.21438449859785377
87,1.4486719,1.5203594,0.218640020715135,0.23488700312363384
88,1.1539516,1.4010158,0.24635064354780117,0.3153891248735734
